	Origin Name			Origin Name
альфа	Greek Capital Letter Alpha	Α	α	Greek Small Letter Alpha
бета	Greek Capital Letter Beta	Β	β	Greek Small Letter Beta
гамма	Greek Capital Letter Gamma	Γ	γ	Greek Small Letter Gamma
дельта	Greek Capital Letter Delta	Δ	δ	Greek Small Letter Delta
епсилон	Greek Capital Letter Epsilon	Ε	ε	Greek Small Letter Epsilon
дзета	Greek Capital Letter Zeta	Ζ	ζ	Greek Small Letter Zeta
ета	Greek Capital Letter Eta	Η	η	Greek Small Letter Eta
тета	Greek Capital Letter Theta	Θ	θ	Greek Small Letter Theta
йота	Greek Capital Letter Iota	Ι	ι	Greek Small Letter Iota
каппа	Greek Capital Letter Kappa	Κ	κ	Greek Small Letter Kappa
лямбда	Greek Capital Letter Lamda	Λ	λ	Greek Small Letter Lamda
мю	Greek Capital Letter Mu	Μ	μ	Greek Small Letter Mu
ню	Greek Capital Letter Nu	Ν	ν	Greek Small Letter Nu
ксі	Greek Capital Letter Xi	Ξ	ξ	Greek Small Letter Xi
омікрон	Greek Capital Letter Omicron	Ο	ο	Greek Small Letter Omicron
пі	Greek Capital Letter Pi	Π	π	Greek Small Letter Pi
ро	Greek Capital Letter Rho	Ρ	ρ	Greek Small Letter Rho
сигма	Greek Capital Letter Sigma	Σ	σ	Greek Small Letter Sigma
тау	Greek Capital Letter Tau	Τ	τ	Greek Small Letter Tau
іпсилон	Greek Capital Letter Upsilon	Υ	υ	Greek Small Letter Upsilon
фі	Greek Capital Letter Phi	Φ	φ	Greek Small Letter Phi
хі	Greek Capital Letter Chi	Χ	χ	Greek Small Letter Chi
псі	Greek Capital Letter Psi	Ψ	ψ	Greek Small Letter Psi
омега	Greek Capital Letter Omega	Ω	ω	Greek Small Letter Omega
застарілі	—	—	—	—
дигамма	Greek Letter Digamma	Ϝ	ϝ	Greek Small Letter Digamma
дигамма (архаїчна)	Greek Capital Letter Pamphylian Digamma	Ͷ	ͷ	Greek Small Letter Pamphylian Digamma
стигма	Greek Letter Stigma	Ϛ	ϛ	Greek Small Letter Stigma
хета	Greek Capital Letter Heta	Ͱ	ͱ	Greek Small Letter Heta
сан	Greek Capital Letter San	Ϻ	ϻ	Greek Small Letter San
коппа	Greek Letter Koppa	Ϟ	ϟ	Greek Small Letter Koppa
коппа (архаїчна)	Greek Letter Archaic Koppa	Ϙ	ϙ	Greek Small Letter Archaic Koppa
сампі	Greek Letter Sampi	Ϡ	ϡ	Greek Small Letter Sampi
сампі (архаїчна)	Greek Capital Letter Archaic Sampi	Ͳ	ͳ	Greek Small Letter Archaic Sampi
шо	Greek Capital Letter Sho	Ϸ	ϸ	Greek Small Letter Sho
